,channelTitle,channelId,video_id,publishedAt,viewCount,likeCount,dislikeCount,commentCount
39,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,R34WHiXK0NU,2020-08-17T17:12:19Z,157786,6731,45,46
40,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,RE73Alg-2WQ,2020-08-17T00:57:17Z,131827,6131,42,54
41,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,mlwSMnDzL44,2020-08-14T00:45:10Z,153972,6674,51,38
42,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,t0tkDn70YRQ,2020-08-13T16:08:25Z,123491,5488,48,17
43,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,Q47v0Ew9OgY,2020-08-13T13:27:00Z,23771,1706,13,9
44,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,_0goS6P28bI,2020-08-13T01:17:45Z,207000,8531,59,45
45,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,gPxg_--WOTY,2020-08-10T20:57:55Z,154344,7025,72,59
46,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,Adg4LATEvbI,2020-08-08T12:17:32Z,327164,18585,245,151
47,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,YpF_GLun8Wo,2020-08-07T19:40:45Z,150934,7535,50,44
48,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,fXzdPPMIFcc,2020-08-07T01:41:16Z,99099,4486,42,19
49,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,Kh2VsyWiQJw,2020-08-04T03:37:15Z,145325,5876,49,23
50,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,8wBV3ZvN1Jo,2020-08-03T15:05:39Z,134083,5636,34,28
51,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,IakhUAUvc_0,2020-08-03T03:58:09Z,173678,6850,76,26
52,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,TTEXq-lVq9U,2020-08-01T21:14:34Z,155942,5903,67,25
53,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,Tf_rMX6hY3k,2020-07-30T16:35:51Z,93568,4827,41,37
54,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,VE_tRcn3eA8,2020-07-29T13:10:38Z,602334,22220,208,321
55,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,ZGhvQs4L8Sc,2020-07-28T10:14:48Z,153252,7029,57,92
56,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,NpYW3CheQVs,2020-07-28T03:48:24Z,165695,6114,69,20
57,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,Lu7_squi2z4,2020-07-27T16:32:56Z,142343,5743,41,42
58,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,dSgK3grJZa4,2020-07-26T18:39:08Z,191391,6435,56,42
59,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,nGnAzZ9nc34,2020-07-24T19:59:20Z,221161,7402,40,136
60,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,RJK98K8Fl9M,2020-07-23T20:18:34Z,65394,3936,34,107
61,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,MHHYKSSuuoY,2020-07-23T15:17:09Z,89128,4010,25,34
62,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,-jnZHhu1D0U,2020-07-23T05:01:10Z,282826,8094,72,53
63,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,PmoLmou3tfY,2020-07-22T04:48:26Z,144029,7131,43,83
64,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,R5Qq1-StsfI,2020-07-20T23:50:03Z,86445,3857,25,38
65,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,0qZITT3L1Dk,2020-07-18T11:34:35Z,94069,4225,33,44
66,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,mwxIOAyt9GU,2020-07-15T23:25:15Z,102688,4159,25,57
67,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,-EExvIYzrjo,2020-07-15T11:14:07Z,95581,4269,29,70
68,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,vCLkpxvm-mk,2020-07-15T00:34:26Z,95646,4021,22,30
69,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,R0BGdAyAGio,2020-07-14T16:32:52Z,103281,4163,31,10
70,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,FaKNqSpPCZ4,2020-07-14T00:19:03Z,93441,4256,30,31
71,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,sJUYVxFVnd4,2020-07-13T17:18:47Z,175472,7102,42,75
72,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,bwCe9wVo8d0,2020-07-13T02:09:27Z,106832,4032,36,49
73,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,ZGysuzdSeuM,2020-07-11T10:42:33Z,90256,3939,20,49
74,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,yuRX9JcYdmU,2020-07-09T12:54:15Z,86100,3462,28,35
75,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,hozP3GRI5yA,2020-07-06T09:33:57Z,82042,2758,27,15
76,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,dkfLKyzJM-E,2020-07-05T18:35:19Z,187222,5257,51,61
77,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,zbmBcgeDhmY,2020-07-05T13:16:42Z,332492,9076,83,138
78,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,VigCOyQMOKI,2020-07-04T02:26:28Z,177680,5812,48,46
79,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,cVBoFyzOuhg,2020-07-02T16:35:12Z,184915,6120,110,57
80,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,GD7YbLHgxfE,2020-07-01T15:46:29Z,130339,4326,30,78
81,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,jr42TLnyEVo,2020-06-30T17:06:52Z,61974,2858,17,15
82,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,E2MJcJ7aqyw,2020-06-29T11:44:02Z,110200,3423,48,14
83,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,hK0lU-zeRlY,2020-06-26T14:13:43Z,77133,3048,22,24
84,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,YRoMFuKDXHw,2020-06-25T20:41:17Z,124479,3665,34,13
85,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,tt6VGvQyM_k,2020-06-25T10:01:51Z,71148,2906,35,11
86,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,d0yEjzseBCU,2020-06-23T12:35:32Z,109120,3772,49,15
87,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,lgDmj2k6Rvc,2020-06-23T10:31:32Z,36082,1621,19,14
88,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,CeqoKpeNqqE,2020-06-22T11:29:36Z,78089,3478,14,46
89,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,MQVUsSo0Xgk,2020-06-21T17:40:31Z,136998,4862,36,35
90,Noel Ch. 白銀ノエル,UCdyqAaZDKHXg4Ahi7VENThQ,sTCagE2DmpA,2020-06-20T12:27:41Z,72970,3127,26,34
