,channelTitle,channelId,video_id,publishedAt,viewCount,likeCount,dislikeCount,commentCount
41,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,0m2g7aeALhE,2020-09-07T18:34:40Z,36813,3200,24,13
42,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,aF_A1ZyLicQ,2020-09-07T15:46:18Z,66815,4986,11,22
43,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,dgMoWMr6E4k,2020-09-06T11:13:53Z,59572,5361,18,31
44,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,WKOZnF4yPCA,2020-09-05T17:38:50Z,78970,5617,12,31
45,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,_JvkXW_vXzo,2020-09-05T08:59:27Z,56908,4363,13,11
46,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,IQRlKFUouAI,2020-09-04T16:45:48Z,44113,3964,10,11
47,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,F2DLYTImGTU,2020-09-03T18:07:34Z,47990,4282,9,9
48,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,cj0ykOxf5SI,2020-09-02T19:30:02Z,58651,4833,17,20
49,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,SwHrDgFKeXc,2020-09-01T17:41:24Z,74237,5258,20,26
50,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,MWD7vROzkCc,2020-08-31T20:06:03Z,53430,3920,16,14
51,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,r-cgYn2UnL0,2020-08-31T16:44:02Z,41466,3916,9,10
52,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,V48ns2NXtdw,2020-08-30T13:06:47Z,50055,5067,18,37
53,Flare Ch. 不知火フレア,UCvInZx9h3jC2JzsIzoOebWg,_WHD4HHJHcc,2020-08-29T20:58:20Z,66592,5059,25,44
